tourney_name,tourney_date,surface,round,winner_name,loser_name,winner_rank,loser_rank,best_of,source,year
australian hardcourt championships,2000-01-03,hard,1st round,dosedel s.,ljubicic i.,63.0,77.0,3.0,tennis_data,2000
qatar open,2000-01-03,hard,1st round,kiefer n.,tarango j.,6.0,59.0,3.0,tennis_data,2000
qatar open,2000-01-03,hard,1st round,gaudio g.,luxa p.,73.0,174.0,3.0,tennis_data,2000
qatar open,2000-01-03,hard,1st round,el aynaoui y.,dupuis a.,33.0,78.0,3.0,tennis_data,2000
qatar open,2000-01-03,hard,1st round,cherkasov a.,arazi h.,206.0,35.0,3.0,tennis_data,2000
qatar open,2000-01-03,hard,1st round,caratti c.,heuberger i.,211.0,219.0,3.0,tennis_data,2000
qatar open,2000-01-03,hard,1st round,bastl g.,novak j.,85.0,36.0,3.0,tennis_data,2000
gold flake open,2000-01-03,hard,semifinals,hantschk m.,pioline c.,128.0,14.0,3.0,tennis_data,2000
gold flake open,2000-01-03,hard,semifinals,golmard j.,damm m.,38.0,104.0,3.0,tennis_data,2000
gold flake open,2000-01-03,hard,quarterfinals,pioline c.,sanguinetti d.,14.0,121.0,3.0,tennis_data,2000
gold flake open,2000-01-03,hard,quarterfinals,hantschk m.,ketola t.,128.0,163.0,3.0,tennis_data,2000
gold flake open,2000-01-03,hard,quarterfinals,golmard j.,delgado j.,38.0,162.0,3.0,tennis_data,2000
gold flake open,2000-01-03,hard,quarterfinals,damm m.,manta l.,104.0,117.0,3.0,tennis_data,2000
gold flake open,2000-01-03,hard,2nd round,sanguinetti d.,vinciguerra a.,121.0,99.0,3.0,tennis_data,2000
gold flake open,2000-01-03,hard,2nd round,pioline c.,paes l.,14.0,145.0,3.0,tennis_data,2000
gold flake open,2000-01-03,hard,2nd round,manta l.,tabara m.,117.0,125.0,3.0,tennis_data,2000
gold flake open,2000-01-03,hard,2nd round,ketola t.,vanek j.,163.0,160.0,3.0,tennis_data,2000
gold flake open,2000-01-03,hard,2nd round,hantschk m.,behrend t.,128.0,116.0,3.0,tennis_data,2000
gold flake open,2000-01-03,hard,2nd round,golmard j.,jonsson f.,38.0,127.0,3.0,tennis_data,2000
gold flake open,2000-01-03,hard,2nd round,delgado j.,stanoytchev o.,162.0,111.0,3.0,tennis_data,2000
qatar open,2000-01-03,hard,1st round,marin j.a.,mantilla f.,71.0,25.0,3.0,tennis_data,2000
qatar open,2000-01-03,hard,1st round,mirnyi m.,puerta m.,74.0,101.0,3.0,tennis_data,2000
qatar open,2000-01-03,hard,1st round,santoro f.,burgsmuller l.,32.0,138.0,3.0,tennis_data,2000
qatar open,2000-01-03,hard,1st round,schalken s.,diaz j.,44.0,86.0,3.0,tennis_data,2000
qatar open,2000-01-03,hard,the final,santoro f.,schuettler r.,32.0,47.0,3.0,tennis_data,2000
qatar open,2000-01-03,hard,semifinals,schuettler r.,el aynaoui y.,47.0,33.0,3.0,tennis_data,2000
qatar open,2000-01-03,hard,semifinals,santoro f.,kiefer n.,32.0,6.0,3.0,tennis_data,2000
qatar open,2000-01-03,hard,quarterfinals,schuettler r.,mirnyi m.,47.0,74.0,3.0,tennis_data,2000
qatar open,2000-01-03,hard,quarterfinals,santoro f.,bastl g.,32.0,85.0,3.0,tennis_data,2000
qatar open,2000-01-03,hard,quarterfinals,kiefer n.,schalken s.,6.0,44.0,3.0,tennis_data,2000
qatar open,2000-01-03,hard,quarterfinals,el aynaoui y.,tillstrom m.,33.0,83.0,3.0,tennis_data,2000
qatar open,2000-01-03,hard,2nd round,tillstrom m.,cherkasov a.,83.0,206.0,3.0,tennis_data,2000
qatar open,2000-01-03,hard,2nd round,schuettler r.,vacek d.,47.0,39.0,3.0,tennis_data,2000
gold flake open,2000-01-03,hard,2nd round,damm m.,agenor r.,104.0,94.0,3.0,tennis_data,2000
qatar open,2000-01-03,hard,2nd round,schalken s.,squillari f.,44.0,49.0,3.0,tennis_data,2000
qatar open,2000-01-03,hard,2nd round,mirnyi m.,marin j.a.,74.0,71.0,3.0,tennis_data,2000
qatar open,2000-01-03,hard,2nd round,kiefer n.,caratti c.,6.0,211.0,3.0,tennis_data,2000
qatar open,2000-01-03,hard,2nd round,el aynaoui y.,gaudio g.,33.0,73.0,3.0,tennis_data,2000
qatar open,2000-01-03,hard,2nd round,bastl g.,berasategui a.,85.0,60.0,3.0,tennis_data,2000
qatar open,2000-01-03,hard,1st round,van lottum j.,blanco g.,69.0,76.0,3.0,tennis_data,2000
qatar open,2000-01-03,hard,1st round,vacek d.,vicente f.,39.0,50.0,3.0,tennis_data,2000
qatar open,2000-01-03,hard,1st round,tillstrom m.,ivanisevic g.,83.0,62.0,3.0,tennis_data,2000
qatar open,2000-01-03,hard,1st round,squillari f.,siemerink j.,49.0,93.0,3.0,tennis_data,2000
qatar open,2000-01-03,hard,1st round,schuettler r.,sanchez j.,47.0,285.0,3.0,tennis_data,2000
qatar open,2000-01-03,hard,2nd round,santoro f.,van lottum j.,32.0,69.0,3.0,tennis_data,2000
gold flake open,2000-01-03,hard,1st round,vinciguerra a.,lopez-moron a.,99.0,113.0,3.0,tennis_data,2000
gold flake open,2000-01-03,hard,the final,golmard j.,hantschk m.,38.0,128.0,3.0,tennis_data,2000
gold flake open,2000-01-03,hard,1st round,tabara m.,kafelnikov y.,125.0,2.0,3.0,tennis_data,2000
australian hardcourt championships,2000-01-03,hard,2nd round,hewitt l.,petrovic d.,24.0,208.0,3.0,tennis_data,2000
australian hardcourt championships,2000-01-03,hard,2nd round,henman t.,lisnard j.,11.0,134.0,3.0,tennis_data,2000
